img,check,assessor,time,date,img2
46_6_104,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:47:15,-
45_1_62,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:44:52,-
45_5_35,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:44:52,-
45_5_39,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:44:52,-
45_5_55,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:44:52,-
45_8_70,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:44:52,-
45_8_80,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:44:52,-
44_3_102,0,Charlotte,2019-06-04 20:41:40,2019-06-04 09:35:09,-
44_7_97,0,Charlotte,2019-06-04 20:41:40,2019-06-04 09:35:09,-
44_8_28,0,Charlotte,2019-06-04 20:41:40,2019-06-04 09:35:09,-
43_3_68,0,Charlotte,2019-06-04 20:41:40,2019-06-04 09:33:14,-
43_7_98,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:33:14,-
43_8_5,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:33:14,-
40_2_31,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
40_2_35,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
40_2_49,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
40_2_5,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
40_2_65,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
40_2_74,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
40_3_102,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
40_3_29,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
40_3_40,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
40_3_43,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
40_4_51,1,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
40_5_7,0,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
40_7_90,0,Charlotte,2019-06-04 20:41:40,2019-06-04 09:22:29,-
39_2_35,0,Charlotte,2019-06-04 20:41:40,2019-06-04 09:14:02,-
39_3_34,0,Charlotte,2019-06-04 20:41:40,2019-06-04 09:14:02,-
35_7_38,0,Charlotte,2019-06-04 20:41:40,2019-06-04 09:02:06,-
35_8_1,0,Charlotte,2019-06-04 20:41:40,2019-06-04 09:02:06,-
35_8_71,0,Charlotte,2019-06-04 20:41:40,2019-06-04 09:02:06,-
32_4_61,1,Charlotte,2019-06-04 20:41:40,2019-06-04 08:55:00,-
32_6_91,0,Charlotte,2019-06-04 20:41:40,2019-06-04 08:55:00,-
32_7_35,0,Charlotte,2019-06-04 20:41:40,2019-06-04 08:55:00,-
31_5_63,0,Charlotte,2019-06-04 20:41:40,2019-06-04 08:52:41,-
31_8_75,0,Charlotte,2019-06-04 20:41:40,2019-06-04 08:52:41,-
252_8_Roquette,-3,Charlotte,2019-06-04 20:41:40,2019-06-03 20:51:05,-
262_8_39,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:51:05,-
263_1_7,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:42,-
263_2_63,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:42,-
263_3_62,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:42,-
263_3_75,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:42,-
263_3_76,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:42,-
263_5_73,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:42,-
263_6_48,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:42,-
263_7_24,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:42,-
263_7_98,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:42,-
263_8_37,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:42,-
263_8_43,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:42,-
263_8_81,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:42,-
258_2_58,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
258_3_1,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
258_3_32,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
258_3_42,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
258_3_71,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
258_8_25,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
258_8_41,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
258_8_43,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
258_8_62,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
258_8_66,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
258_8_70,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
258_8_84,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
258_8_90,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_1_84,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_3_45,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_3_66,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_3_71,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_4_68,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_4_82,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_5_52,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_5_62,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_6_43,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_6_75,-2,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_7_58,-2,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_8_51,-2,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_8_88,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_8_91,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
257_8_Roquette,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:49:06,-
261_1_54,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_1_80,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_1_98,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_2_12,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_2_27,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_4_57,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_4_69,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_4_76,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_5_102,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_5_20,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_6_100,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_6_2,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_6_64,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_6_99,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_7_32,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_8_30,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_8_33,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_8_37,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_8_43,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
261_8_83,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:47:38,-
260_3_100,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:43:41,-
260_3_97,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:43:41,-
260_4_54,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:43:41,-
260_5_18,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:43:41,-
260_5_33,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:43:41,-
260_5_5,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:43:41,-
260_6_48,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:43:41,-
260_6_67,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:43:41,-
260_7_85,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:43:41,-
260_8_37,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:43:41,-
260_8_69,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:43:41,-
260_8_Roquette,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:43:41,-
253_1_23,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
253_1_53,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
253_4_51,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
253_5_73,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
253_8_2,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
253_8_20,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
253_8_88,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_10,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_14,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_19,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_22,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_26,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_36,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_4,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_47,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_53,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_61,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_69,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_72,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_8,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_86,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_1_87,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_5_51,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_5_65,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_5_70,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_5_85,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_5_98,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_5_Roquette,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_8_100,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_8_103,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_8_20,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_8_23,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_8_36,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_8_66,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_8_75,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_8_77,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
254_8_90,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
255_1_70,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
255_1_Roquette,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
255_8_84,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
256_5_98,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
256_6_3,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_3_90,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_4_27,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_6_44,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_7_32,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_1,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_10,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_100,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_105,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_14,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_18,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_19,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_20,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_22,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_23,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_25,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_26,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_27,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_29,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_3,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_30,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_31,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_36,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_37,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_38,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_39,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_4,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_41,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_42,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_43,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_47,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_52,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_53,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_54,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_58,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_60,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_61,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_62,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_66 ,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_67,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_69,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_70,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_71,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_72,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_76,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_77,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_78,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_81,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_85,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_91,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_98,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
259_8_Roquette,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:42:20,-
247_1_58,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:32:54,-
